股票名稱,日期,日報酬率(%)
2330 台積電,2019/6/14,-1.6667
2330 台積電,2019/6/17,-1.2712
2330 台積電,2019/6/18,1.073
2330 台積電,2019/6/19,3.6093
2330 台積電,2019/6/20,0.4098
2330 台積電,2019/6/21,1.4286
2330 台積電,2019/6/24,0.2012
2330 台積電,2019/6/25,-1.0373
2330 台積電,2019/6/26,-1.6771
2330 台積電,2019/6/27,2.5586
2330 台積電,2019/6/28,-0.6237
2330 台積電,2019/7/1,3.9749
2330 台積電,2019/7/2,0.2012
2330 台積電,2019/7/3,-2.6104
2330 台積電,2019/7/4,0.6186
2330 台積電,2019/7/5,-0.4098
2330 台積電,2019/7/8,-0.2058
2330 台積電,2019/7/9,-0.2062
2330 台積電,2019/7/10,2.0661
2330 台積電,2019/7/11,1.2146
2330 台積電,2019/7/12,0.2
2330 台積電,2019/7/15,1.5968
2330 台積電,2019/7/16,0.5894
2330 台積電,2019/7/17,-1.5625
2330 台積電,2019/7/18,0.7937
2330 台積電,2019/7/19,1.9685
2330 台積電,2019/7/22,1.9305
2330 台積電,2019/7/23,0
2330 台積電,2019/7/24,0.3788
2330 台積電,2019/7/25,0
2330 台積電,2019/7/26,-1.5094
2330 台積電,2019/7/29,0
2330 台積電,2019/7/30,-0.3831
2330 台積電,2019/7/31,-0.1923
2330 台積電,2019/8/1,-1.1561
2330 台積電,2019/8/2,-1.9493
2330 台積電,2019/8/5,-1.9881
2330 台積電,2019/8/6,0.8114
2330 台積電,2019/8/7,-0.2012
2330 台積電,2019/8/8,2.2177
2330 台積電,2019/8/12,-0.9862
2330 台積電,2019/8/13,-1.7928
2330 台積電,2019/8/14,1.217
2330 台積電,2019/8/15,-0.6012
2330 台積電,2019/8/16,0.8065
2330 台積電,2019/8/19,0.8
2330 台積電,2019/8/20,0.9921
2330 台積電,2019/8/21,0
2330 台積電,2019/8/22,-0.1965
2330 台積電,2019/8/23,0
2330 台積電,2019/8/26,-2.1654
